year,city,country,Shenyang_avg_temp,Shenyang_7-year MA
1829,Shenyang,China,11.8,
1830,Shenyang,China,7.12,
1831,Shenyang,China,6.02,
1832,Shenyang,China,6,
1833,Shenyang,China,6.59,
1834,Shenyang,China,6.94,
1835,Shenyang,China,6.1,7.224285714
1836,Shenyang,China,6.51,6.468571429
1837,Shenyang,China,6.22,6.34
1838,Shenyang,China,,6.393333333
1839,Shenyang,China,5.91,6.378333333
1840,Shenyang,China,6.79,6.411666667
1841,Shenyang,China,5.77,6.216666667
1842,Shenyang,China,6.66,6.31
1843,Shenyang,China,6.94,6.381666667
1844,Shenyang,China,6.81,6.48
1845,Shenyang,China,6.8,6.525714286
1846,Shenyang,China,7.26,6.718571429
1847,Shenyang,China,7.11,6.764285714
1848,Shenyang,China,7.03,6.944285714
1849,Shenyang,China,7.03,6.997142857
1850,Shenyang,China,5.99,6.861428571
1851,Shenyang,China,5.62,6.691428571
1852,Shenyang,China,5.85,6.555714286
1853,Shenyang,China,6.14,6.395714286
1854,Shenyang,China,7.06,6.388571429
1855,Shenyang,China,7.45,6.448571429
1856,Shenyang,China,6.84,6.421428571
1857,Shenyang,China,6.67,6.518571429
1858,Shenyang,China,7.11,6.731428571
1859,Shenyang,China,6.93,6.885714286
1860,Shenyang,China,5.8,6.837142857
1861,Shenyang,China,6.16,6.708571429
1862,Shenyang,China,6.29,6.542857143
1863,Shenyang,China,7.29,6.607142857
1864,Shenyang,China,6.62,6.6
1865,Shenyang,China,6.6,6.527142857
1866,Shenyang,China,6.81,6.51
1867,Shenyang,China,7.15,6.702857143
1868,Shenyang,China,7.06,6.831428571
1869,Shenyang,China,7.35,6.982857143
1870,Shenyang,China,6.65,6.891428571
1871,Shenyang,China,6.81,6.918571429
1872,Shenyang,China,6.64,6.924285714
1873,Shenyang,China,6.53,6.884285714
1874,Shenyang,China,7.2,6.891428571
1875,Shenyang,China,7.14,6.902857143
1876,Shenyang,China,7.4,6.91
1877,Shenyang,China,6.98,6.957142857
1878,Shenyang,China,6.87,6.965714286
1879,Shenyang,China,6.99,7.015714286
1880,Shenyang,China,6.82,7.057142857
1881,Shenyang,China,6.72,6.988571429
1882,Shenyang,China,7.16,6.991428571
1883,Shenyang,China,6.78,6.902857143
1884,Shenyang,China,5.99,6.761428571
1885,Shenyang,China,6.53,6.712857143
1886,Shenyang,China,7.04,6.72
1887,Shenyang,China,6.79,6.715714286
1888,Shenyang,China,6.56,6.692857143
1889,Shenyang,China,6.39,6.582857143
1890,Shenyang,China,7.72,6.717142857
